,song,artist,genre,actual_lyrics
256,Busy Woman,Sabrina Carpenter,Pop,"[""I'm so mature collected and sensible"", 'Except when I get hit with rejection', 'But if you need my love', ""My clothes are off I'm comin' over to your place"", ""Well I didn't want your little bitchass anyway"", ""Yeah I'm a busy woman"", ""I wouldn't let you come into my calendar any night"", ""I'll be your perfect Mrs. 'til the day that one of us dies Oh hey"", 'So much to shave and lipstick to reapply', 'Maybe for you though I could accommodate', ""I'm flexible so just tell me what you like"", 'Tantric yoga baby namaste', ""If you don't want me I'll just deem you gay""]"
257,You’ll Be in My Heart,Phil Collins,Rock,"[""Come stop your cryin' it will be alright"", 'Just take my hand hold it tight', 'I will protect you from all around you', ""I will be here don't you cry"", 'For one so small you seem so strong', 'My arms will hold you keep you safe and warm', ""This bond between us can't be broken"", ""I will be here don't you cry"", ""Cause you'll be in my heart"", ""Yes you'll be in my heart"", 'From this day on now and forever more', ""You'll be in my heart"", 'No matter what they say', ""You'll be here in my heart always"", ""Why can't they understand the way we feel"", ""They just don't trust what they can't explain"", ""And I know we're different but deep inside us"", ""We're not that different at all""]"
258,Waiting On A Wish,Rachel Zegler,Pop,"['My father told me long ago', 'I braved a bitter storm of snow']"
259,Dancing Queen,ABBA,Pop,"['You can dance you can jive', 'Having the time of your life', 'Ooh see that girl watch that scene', ""Diggin' the dancing queen"", 'You come to look for a king', 'Anybody could be that guy', ""Night is young and the music's high"", 'With a bit of rock music', 'Everything is fine', 'You are the dancing queen', 'Young and sweet only seventeen', 'Dancing queen', 'You can dance you can jive', 'Having the time of your life', 'Ooh see that girl watch that scene', ""Diggin' the dancing queen""]"
260,Satanized,Ghost,Alternative Rock,"['There is something inside me', ""And they don't know if there is a cure"", 'A demonic possession', 'Unlike any before', 'Blasphemy', 'Save me from the monster that is eating me']"
261,30 For 30,SZA & Kendrick Lamar,R&B,"['I used to think about immature things', 'You know like', 'Do you love me Do you want me', ""Are you gon' call me like you said you would"", 'Is this really your real phone number', ""Some of y'all gon' get washed Washed"", ""Some of y'all just gon' pop shit"", ""Some of y'all just gon' talk Talk"", ""But none of y'all ain't really 'bout shit"", ""Some of y'all just look lost Lost yeah"", ""I'm wipin' 'em down in front of they nigga""]"
262,Like Him,"Tyler, The Creator (Ft. Lola Young)",R&B,"['Damn nigga every time I look at you I swear to God', 'Nigga you got that nigga feet', 'You got that nigga body', 'You got that nigga long arms fingers and shit', 'Flat feet big di', 'She said that I make expressions like him', 'My legs to my shoulders and my chin like him', 'My waist and my posture like him', 'Like him', 'Like him like him like him', 'Chorus Tyler The Creator  Lola Young', ""Mama I'm chasin' a ghost"", ""I don't know who he is"", ""Mama I'm chasin' a ghost"", ""I don't know where he is"", ""Mama I'm chasin' a ghost"", 'Do I look like him Like what', 'Like him Like what', 'Like him Like what', 'Like him Lalalala', 'Post', 'Chorus Lola Young']"
263,California Gurls,Katy Perry (Ft. Snoop Dogg),Electronic,"['I know a place', 'Where the grass is really greener', ""Sippin' gin and juice"", 'The boys break their necks', 'Tryna creep a little sneak peek', 'But nothing comes close to the golden coast', 'Oh ohohohohohoh', ""California girls we're unforgettable"", 'Daisy Dukes bikinis on top', ""so hot we'll melt your popsicle"", 'West Coast represent', 'now put your hands up']"
264,WHIM WHAMIEE,PLUTO & YKNIECE,Rap,"[""Slidin' down Ashby with the brew you know we deep as fuck We deep as fuck ho"", ""Somethin' like Bunna"", ""B 'cause her nigga dropped the bag""]"
265,Just In Case,Morgan Wallen,Country,"[""Done a little bit of midnight movin' on"", ""And I ain't sayin' when I do thatitdon'thelp"", 'Leave with someone', ""I don't knowher name"", 'Pull her real close but I leave some space', 'And I could forget you girl for good', 'Even though I should', 'I always take it to the edge then I back it up', ""They don't know I got a reason for actin' up"", ""I ain't felt a damn thing baby after us"", ""Yeah I'm just hopin' you'll come back to us""]"
266,Don’t Wanna Cry,Selena Gomez & benny blanco,Pop,"['Left the door wide open for the whole wide world to see you', ""Then you kiss her right in front of me like I'm not even there"", ""I should cause a scene for shit you've done to me"", 'The saddest part is we both know that I would never leave', 'You know how it goes everybody knows', ""I'm just another hand you hold"", ""I don't wanna cry now"", ""I don't wanna cry now"", ""There's nothing to say it's not gonna change"", ""Maybe I'm the one to blame"", ""I know that I said I'd forgiv you once but baby"", ""It's been a hundred times and I still crawl back for more"", ""I should cause a scene for shit you've done to me"", 'The saddest part is we both know that I would never leave', 'You know how it goes everybody knows', ""I'm just another hand you hold""]"
267,Seoul City,JENNIE,R&B,['82 some miracle']
268,Tweaker,GELO,Rap,"['KUNICA on the beat', 'I might swerve bend that corner woah', ""Bitch hold on tight 'cause I'll tweak in thisbitchstartlettin' shit go"", 'And', 'I heard thatshe wanna show', 'Me who she be', 'Bitch we tatted head to toe could give a fuck the story wrote', 'Like the money in my pockets blow', ""They havin' convos about me these pussy niggas don't know"", ""Tell me what they talkin' 'bout I ain't fuckin' listenin'Let your thoughts run your mouth but ain't touchin' dividends"", ""Nigga I ain't from the South but kick it with my Memphis twin"", ""Nigga I can't take a loss I'm always goin' for the win For the win"", 'I been geeked up in this booth', 'I got my blunt packed for the starter', ""See a nigga actin' bothered got my green light to red dot 'em"", ""I came up a fuckin' soldier nigga shout out to my father"", 'My trust in God Glocks and dollars']"
269,Careless Whisper,George Michael,Soul,"['I feel so unsure', 'As I take your hand and lead you to the dance floor', 'As the music dies something in your eyes', 'Calls to mind a silver screen and all its sad goodbyes', ""I'm never gonna dance again"", 'Guilty feet have got no rhythm', ""Though it's easy to pretend"", ""I know you're not a fool"", 'I should have known better than to cheat a friend', ""And waste the chance that I'd been given"", ""So I'm never gonna dance again"", 'The way I danced with you oh', 'Time can never mend', 'The careless whispers of a good friend', 'To the heart and mind ignorance is kind', ""There's no comfort in the truth pain is all you'll find"", ""I'm never gonna dance again"", 'Guilty feet have got no rhythm', ""Though it's easy to pretend"", ""I know you're not a fool"", 'I should have known better than to cheat a friend Shoulda known better yeah', ""And waste the chance that I'd been given"", ""So I'm never gonna dance again"", 'The way I danced with you oh']"
270,with the IE (way up),JENNIE,Pop,"['Incoming', 'Shots fire on my way up', 'Shots fire on my way up', ""Straight line's a hate crime villain in a scary coat"", ""Your fuckin' sea of judgment watch her there she floats"", ""Target on my name but your aim's way off"", 'Why are you evaluating me on your day off']"
271,Would You Fall In Love With Me Again,Jorge Rivera-Herrans & Anna Lea,Pop,"['ODYSSEUS breathes out', 'ODYSSEUS', 'Penelope', 'ODYSSEUS opens the bedroom door', 'Is it you Have my prayers been answered', 'Is it really you standing there or am I dreaming once more', 'You look different', '', 'your eyes look tired', 'Your frame is lighter', 'your smile torn', 'Is it really you my love', 'ODYSSEUS', 'I am not the man you fell in love with', 'I am not the man you once adored', 'I am not your kind and gentle husband', 'And I am not the love you knew before', 'Would you fall in love with me again', ""If you knew all I've done"", 'The things I cannot change', 'Would you love me all the same', ""I know that you've been waiting waiting for love""]"
272,Shadow Of A Man,Lady Gaga,Electronic,"['Shadado shadadoow', 'Shadado shadadoow of a man', 'Shadado shadadoow', 'Dance in the shadow of a m', 'Standing in the shadow of another man', 'Lonely as the streets pass me by Oh oh', ""Life ain't under pressure 'cause I got a plan"", ""Starin' at myself in the eye Oh ohoh"", ""I don't wanna fade into the darkness tonight"", 'Show me the light', ""I don't wanna be the one to fall on the knife"", 'To come alive', ""I'll dance in the shadow of a man""]"
273,Damn Right,"JENNIE, Childish Gambino & Kali Uchis",R&B,"['Ear', 'Drummers', 'Mike Wi', 'LL Mike Wi', 'LL Mike Wi', 'LL Made', 'It', 'Popped up on you solo in my lonely night', 'And you saw me whip my hair in the wind playing Beyonc', ""Puttin' that good work in like a fianc"", 'Finish line was gold better go ahead and lend me them keys to the condo']"
274,The Pi Song (100 Digits of π),AsapSCIENCE,Pop,"['Circumference over diameter', 'Halfway done', ""We're almost near the end keep going""]"
275,Killah,Lady Gaga (Ft. Gesaffelstein),Rock,"[""Standin' on the corner smokin' that grass"", 'And the boys all pass me by', 'Gonna make the curtains cream believe it', 'bedroom demon', ""I'm gonna make you scream that's a matter of fact"", ""And boy you're gonna die tonight""]"
276,Sweet Child O’ Mine,Guns N' Roses,Rock,"['Guitar Riff', ""She's got a smile that it seems to me"", 'Reminds me of childhood memories', 'Where everything was as fresh as the bright blue sky Sky', 'Now and then when I see her face', 'She takes me away to that special place', ""And if I stared too long I'd probably break down and cry"", 'Woah oh oh', ""Sweet child o' mine"", 'Woah oh oh oh', 'Sweet love of mine', 'Instrumental Break', ""She's got eyes of the bluest skies"", 'As if they thought of rain', ""I'd hate to look into those eyes and see an ounce of pain"", 'Her hair reminds me of a warm safe place', ""Where as a child I'd hide"", 'And pray for the thunder and the rain to quietly pass me by']"
277,luther,Kendrick Lamar & SZA,Soul,"['If this world were mine', ""Hey Roman numeral seven bae drop it like it's hot"", 'Fahfah fahfahfah fahfah fah', ""Hey Roman numeral seven bae drop it like it's hot"", ""If this world was mine I'd take your dreams and make 'em multiply"", ""If this world was mine I'd take your enemies in front of God"", 'She a fan he a flop they just wanna kumbaya nah', 'In this world concrete flowers grow', ""Heartache she only doin' what she know"", ""Weekends get it poppin' on the low"", 'If this world were mine']"
278,American Pie,Don McLean,Soft Rock,"['A long long time ago', 'I can still remember how that music', 'Used to make me smile', 'And I knew if I had my chance', 'That I could make those people dance', ""And maybe they'd be happy for a while"", 'But February made me shiver', ""With every paper I'd deliver"", 'Bad news on the doorstep', ""I couldn't take one more step"", ""I can't remember if I cried"", 'When I read about his widowed bride', 'But something touched me deep inside', 'The day the music died', 'So byebye Miss American Pie', 'Drove my Chevy to the levee but the levee was dry', ""And them good ol' boys were drinkin' whiskey and rye"", ""Singin' This'll be the day that I die"", ""This'll be the day that I die"", 'Did you write the book of love', 'And do you have faith in God above', 'If the Bible tells you so', ""Now do you believe in rock 'n' roll"", 'Can music save your mortal soul', 'And can you teach me how to dance real slow', ""Well I know that you're in love with him'Cause I saw you dancin' in the gym"", 'You both kicked off your shoes', 'Man I dig those rhythm and blues', ""I was a lonely teenage broncin' buck"", 'With a pink carnation and a pickup truck']"
279,Counting Stars,OneRepublic,Rock,"[""Lately I been I been losin' sleep"", ""Dreamin' about the things that we could be"", ""But baby I been I been prayin' hard"", ""Said No more countin' dollars we'll be countin' stars"", ""Yeah we'll be countin' stars"", ""I see this life like a swingin' vine"", 'Swing my heart across the line', ""In my face is flashin' signs"", 'Seek it out and ye shall find', ""The old but I'm not that old"", ""Young but I'm not that bold"", ""And I don't think the world is sold"", ""On just doin' what we're told"", ""I feel somethin' so right doin' the wrong thing"", ""And I feel something so wrong doin' the right thing"", ""I couldn't lie couldn't lie couldn't lie"", 'Everything that kills me makes me feel alive', ""Lately I been I been losin' sleep"", ""Dreamin' about the things that we could be"", ""But baby I been I been prayin' hard"", ""Said No more countin' dollars we'll be countin' stars"", ""Lately I been I been losin' sleep"", ""Dreamin' about the things that we could be"", ""But baby I been I been prayin' hard"", ""Said No more countin' dollars we'll be we'll be countin' stars yeah""]"
280,Call Me Maybe,Carly Rae Jepsen,Pop,"['I threw a wish in the well', ""Don't ask me I'll never tell"", 'I looked to you as it fell', ""And now you're in my way"", 'I trade my soul for a wish', 'Pennies and dimes for a kiss', 'Your stare was holdin', 'Hey I just met you and this is crazy', ""But here's my number so call me maybe"", ""It's hard to look right at you baby"", ""But here's my number so call me maybe"", 'Hey I just met you and this is crazy', ""But here's my number so call me maybe"", 'And all the other boys try to chase me', ""But here's my number so call me maybe""]"
281,Revolving door,Tate McRae,Pop,"['My cold heart is finally melting', 'I moved from the east to the west wing', 'I finally think it might be helping oh oh', ""I confess I'm not that versatile"", ""Say I'm good but I might be in denial"", 'Baby I tried to call you', 'Off like a bad habit', 'Tried to call you', ""But I keep comin' back like a revolvin' door"", ""So I keep comin' back like a revolvin' door""]"
